Subject Number ,alpha-hexylcinnameldehyde,Benzophenone,Dodecanoic acid,heptadecane,Hexyl salicylate,Isopropyl Myristate,Methyl Decanoate,Methyl palmitate,Napthalene,Nonanal,Octadecane,Tetradecane,Undecanoic Acid,Isopropyl Palmitate
M3-100818-RH,0,0,1.968335417,0.830364497,0,0.96694095,5.692058605,0.818620867,0,1.549834559,0.956281116,0,0,0.606584414
M13-100818-RH,0,0,0,0.663482502,0,0,0,0,0,0,0,0,0,0
M14-100818-RH,0,0,0,0.528592884,0,0,0.794634958,0,0,0,0,0,0,0
F5-092718-RH,0.542375,0,1.418623607,0.664313,0,0,0,0,0,3.857621762,0.535975,0,0,0
F10-092718-RH,0,0,2.401339958,1.084463,0,0,0.5883405,0,0,3.785838657,1.24986,0,0,0
M11-092718-RH,0.859648,0,3.06142818,0.534051,0,0,0,0,0,4.670436347,0.534051,0,0,0
M12-092718-RH,0.540217,0,0.792977647,0.84737,0,0,0,0,0,5.186828247,0.84737,2.740798,0,0
F11-100118-RH,0,0,0,0,0,0,0,0,0,2.878512621,0.670331,0,0,0
F12-100118-RH,0.956039,0,1.495977356,0,0,0,0.830503,0.677496,0,5.542056958,2.178932,3.114908,0,0
F13-100118-RH,0.586652,0,1.66999094,0,0,2.648069,0,0,0,5.06607346,0.837225,0,0,1.225649
M3-100818-LH,0,0,4.950224944,1.768834483,0,0.917735818,0,1.042140868,0,1.572408088,1.999205977,0,0,0.750516691
M13-100818-LH,0,0,1.157115548,1.318914423,0,2.933674633,0,0,0,1.933915441,1.136841855,0,0,0
M14-100818-LH,0,0,1.371106607,1.449266,0,5.57803594,0,0,0,1.470533088,1.28705505,0,0,0
F5-092718-LH,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F10-092718-LH,0,0,0.666808587,0.509064,0,0,0,0,0,3.985111508,0,0,0,0
M11-092718-LH,0,0,2.542375805,0.671282,0,0,0,0,0,7.72672921,0.671282,0,0,0
M12-092718-LH,0.442191,0,0.785489648,0.759839,0,0,0,0,0,5.381869428,0.759839,2.72606,0,0
F11-100118-LH,0,0,0.559174659,0,0,0.874475,1.921677,0,0,2.370275946,25.648704,0,0,1.055334
F12-100118-LH,1.08359,0,0.840529991,2.35057344,0,1.566838,2.4662975,0,0,2.391810749,3.374301,1.347453,0,1.469721
F13-100118-LH,0,0,1.424180067,1.052782617,0,1.405993,2.7300255,0,0,3.636956995,29.102695,2.046757,0,1.694087
CM (S144),0.53081155,0.3390955,1.235286,0.373853956,0.342326667,1.397622,0.689872,0.2139525,0.586596,3.494770091,0.920651,0.367767,0.620002076,0.297987777
CM (S145),7.564476776,0.514241,0.672963,0.574247591,0.437142333,0.188375,0.730162,0.6557135,0.010532333,2.890571357,0.379765,0.816445759,1.039084426,0.633306516
CM (S125),0.582870227,0.120429,0.381353,0.329357228,0.155111,0.287268,0.750442,0.028765,0.094549667,5.146215372,0,0.541785,0.07865261,0.274061031
CM (S120),1.959237033,0.153566,0,0.816178497,0.017566333,11.313949,1.532936,0,0.025614333,4.177749057,6.656067,0.854916,0.335218092,0
CM (S117),0.583729975,0.1764925,0.008205,0.600234864,0,2.694879,0,0,0.052337,4.432159238,7.769823,1.923877,0.168253402,0
CM (S112),1.488527409,0.1215085,0,0.76587597,0.011639667,5.548418,0,0.090405905,0.023228,1.808475198,4.313641,0.551328,0.339417181,0
CM (S113) ,0.444066027,0.2228105,0.049681,0.469459401,0,3.602293,0.09169,0,0.045834,9.686822356,7.115702,0.95695,0.559142712,0
CM (S135),7.774166195,0.1602795,0.356208,1.54579856,0.996715,0.406835,0.806724,0.168136,0.028119,1.8758178,5.379513,0.994609,0.24654956,0.221235694
CM( S138),7.900476184,0.5182165,0.551479,2.850087817,3.954273,1.008796,0.647358,0.9471785,0.082467667,1.408185865,3.724171,2.751014,0.185774413,0.626245092
HM (S129),0.287542666,0.1825285,0.128892,0.462898827,0.056659667,1.279415,0.72193,0.079791,0.044156333,4.378222232,8.221576,2.235962,0.392544268,0
HM (S122),0.050727248,0.1330985,0.071404,0.3208182,0,0.232887,0.04902,0,0.025401,0.451718575,2.828373,0.82741,0.190463134,0
HM (S101) ,0.068465704,0.112826,0,0.667648353,0,0.372675,0.015001,0.0476865,0.021915667,6.665973664,2.877476,2.144723,0.169461816,0.172516926
HM (S105),0.275496552,0.078097,0.022133,0.54217482,0,2.399113,0.148693,0.094087,0.017261,8.731157058,2.399916,2.953381,0.05733401,0.890081486
HM (S107),0.038632894,0.0933545,0,1.277057737,0,1.024407,0.551286,0.2600185,0.017428667,1.120792244,2.369969,0.86643,0.44940823,0.38155167
HM (S109),0.650616617,0.1577915,0,1.393870903,0.008627333,1.065684,0.134557,0.232264,0.019201333,3.952364795,1.444387,1.855419,0.197030085,0.232298945
HM( S121),0.19036118,0.081015,0.014903,0.200739144,0,0.117808,0.00714,0.043922,0.021055333,0.711767373,1.738831,0.175352,0.059261203,0
HM ( S114),1.160511217,0.118601,0.052,0.729768138,0,11.079552,0,0,0.196162333,6.726903419,4.006181,2.180195,0.116773439,0
HM(S131),0.267330023,0.209756,0.064702,1.380883436,0,0.82224,0.478598,0.082269,0.032418333,6.546748388,4.51668,2.236712,0.213516991,0.043292703
HM (S124),0.282466725,0.3925455,0.095699,2.126349648,0,0.781844,0.576511,0.129237,0.068825,7.895664003,9.383548,1.212655,0.414064596,0
CF (S106),0.322706554,0.184056,0.247283,0.678692328,0,0.638775,0.259427,0.079185,0.043939,4.177749057,5.82715,0.854916,0.335218092,0
CF (S128),2.441882354,0.3245505,4.179052,1.031772506,0.348592333,1.57896,0.257583,0.137216,0.407339333,5.690255496,4.392411,0.509105,0.15631812,0
CF (S116),0.740257624,0.2064945,0.057551,0.303116992,0.011891667,1.455335,0,0.0823705,0.031246,1.908113377,7.427156,0.235275,1.772320878,0.172940631
CF (S118),0.340901684,0.2361045,0.050661,0.348323249,0,1.79096,0.070691,0,0.042717,4.432159238,4.68404,2.057888,0.190188939,0
CF (S102),0.197163048,0.156215,0,0.214107083,0.008387667,1.382757,0,0.067572,0.026032,6.453510717,2.886418,2.125309,0.116937956,0.012105654
CF (S137),2.570903442,0.3336895,3.761415,0.928689243,0.251707333,3.710547,0.699992,0.27153,0.033233667,0.796106023,4.207179,0.353794,0.630556595,7.173258777
HF (S130),0.251788103,0.2955785,4.433125,1.782651706,0.272944333,0.263279,0.720318,0.280858,0.057161,4.208141447,2.57584,0.953427,3.276965532,13.35705447
HF (S132),0.099964409,0.040489,0.069407,0.238514884,0.007773667,0.276942,0,0.020628,0.054081,0.766234928,2.401235,0.581201,0.281973493,0.007550456
HF (S108),1.154702026,0.089734,0.075347,0.53855108,0.010245,17.712296,0.040039,0,0.016367333,2.77763246,3.251223,0.899762,0.351530689,0
HF (S103),0.254381282,0.1160785,0,0.775706547,0,0.880713,0.102464,0.160224,0.035692333,17.50177518,5.513875,5.751029,0.088549062,2.867821569
HF (S143),0.591470919,0.497358,2.317597,0.506527668,0.508212333,1.4377,5.320631,0.663861,1.090745667,4.344930335,1.229587,0.548964,0.1917068,0.718605497